"ogc_fid	id	ulykkenummer	intulykkenr	nestenulykke	dato	breddegrad	lengdegrad	ulykketype_kode	ulykketype	skipinvolvert	geom_wkt"
"8755	68BA7A45-2134-491E-A9DF-DC18FA0F6262	2021/0012	20210012	N	2021-01-07	61.26667	4.7865	G	Grunnst�ting	BERGFJORD	POINT(4.78649997711182 61.2666664123535)"
"4752	F2EF5317-98DA-4812-A59A-78004E9E38FF	2021/0005	20210005	N	2021-01-05	69.75	19.66666	G	Grunnst�ting	AMANDA	POINT(19.6666641235352 69.75)"
"7784	6DA87DDF-CE52-4C31-A166-C4D1446B53EA	2021/0090	20210090	N	2021-01-05	70.74167	25.66666	G	Grunnst�ting	KORSFJORD	POINT(25.6666641235352 70.7416687011719)"
"6914	CE086127-24E3-403F-A63E-B0DA32EB5C73	2021/0002	20210002	N	2021-01-03	62.145	5.061665	G	Grunnst�ting	BOA ODIN	POINT(5.06166505813599 62.1450004577637)"
"2862	CDD3B56C-3DC4-437E-9BA0-47DA362D43DC	2020/0863	20200863	N	2020-12-26	63.56	9.41	G	Grunnst�ting	FOSNA NEPTUN	POINT(9.40999984741211 63.560001373291)"
"9218	A1868811-8616-4477-8D6D-E8CF3C0C3A6D	2020/0857	20200857	N	2020-12-25	61.59666	4.955	G	Grunnst�ting	GRIP AUSTRAL	POINT(4.95499992370605 61.5966644287109)"
"118	DB4DEF2C-6DEE-4A00-8A7A-02F6A0A400C7	2020/0851	20200851	N	2020-12-22	69.9	20.1	G	Grunnst�ting	STORMHAV	POINT(20.1000003814697 69.9000015258789)"
"519	286D036E-1D8F-45E8-A8ED-0D225882FD02	2020/0839	20200839	N	2020-12-19	63.36533	8.672165	G	Grunnst�ting	ARKTOS	POINT(8.67216491699219 63.3653297424316)"
"4012	E5CEFD1C-5178-4A48-8823-650AD3E4ED0F	2020/0847	20200847	N	2020-12-19	65.6745	12.14783	G	Grunnst�ting	BORGSKJÆR	POINT(12.1478300094604 65.6744995117188)"
"4392	522FD9D4-64BE-414A-86BD-6E8C0AE6D8C9	2020/0848	20200848	J	2020-12-19	63.81733	9.670165	G	Grunnst�ting	HYDRO PATRIOT	POINT(9.67016506195068 63.8173294067383)"
"2959	079E1FBB-9163-4216-BE15-4AA6236DBE94	2020/0834	20200834	N	2020-12-18	62.98333	7.55	G	Grunnst�ting	VOLT COLLECTOR II	POINT(7.55000019073486 62.9833297729492)"
"6949	B92F5DAB-0E45-4F8F-9CC5-B1B6794E7758	2020/0842	20200842	N	2020-12-18	68.27258	8.229665	G	Grunnst�ting	SLC-02	POINT(8.22966480255127 68.2725830078125)"
"9185	2B04FADA-7D4C-4737-B393-E7F04D06E7B3	2020/0818	20200818	N	2020-12-09	70.6345	29.73383	G	Grunnst�ting	KAPITAN GERASHCHENHO	POINT(29.733829498291 70.6344985961914)"
"8891	CC30D220-51DD-47F0-B4BF-DFDB8A37A504	2020/0811	20200811	N	2020-12-01	63.86666	9.78333	G	Grunnst�ting	MAILEN	POINT(9.78332996368408 63.8666648864746)"
"6769	864BF6D3-DF19-48E9-8058-AD151EE7961C	2020/0782	20200782	N	2020-11-28	56.56667	10.26667	G	Grunnst�ting	BULK CARRIER	POINT(10.2666654586792 56.5666656494141)"
"3995	AC60007B-3A8C-4D19-838C-64A1CBB237B8	2020/0780	20200780	N	2020-11-28	60.85833	4.856665	G	Grunnst�ting	PLØY	POINT(4.85666513442993 60.8583297729492)"
"1182	939B2519-8C72-4E2B-890A-1DAD672A4C7F	2020/0786	20200786	N	2020-11-27	69.3725	18.07383	G	Grunnst�ting	MAJA 2	POINT(18.0738296508789 69.3724975585938)"
"3939	514B3039-BE62-4B08-A7BA-631ED33CDAA0	2020/0788	20200788	N	2020-11-27	70.38333	31.08333	G	Grunnst�ting	SABINE	POINT(31.0833301544189 70.3833312988281)"
"6424	AD34A91A-684D-4F46-9F6F-A3825D5A8B73	2020/0747	20200747	N	2020-11-17	69.75	19.11666	G	Grunnst�ting	IDA  AMALIE	POINT(19.1166648864746 69.75)"
"9187	3342E0A0-D51E-460C-9F83-E7F8A752E019	2020/0831	20200831	N	2020-11-15	59.68333	5.716665	G	Grunnst�ting	CORNELIA	POINT(5.71666479110718 59.6833305358887)"
"3529	6B8BDDDE-F35F-4BB7-8188-586CDE7C2366	2020/0739	20200739	N	2020-11-13	66.6305	13.29217	G	Grunnst�ting	FYKAN	POINT(13.2921667098999 66.630500793457)"
"1250	7534199D-3157-41D9-AF6C-1F668E7AF89E	2020/0735	20200735	N	2020-11-12	70.90517	25.552	G	Grunnst�ting	ANNE METTE	POINT(25.5520000457764 70.9051666259766)"
"4033	D7A60E03-95B9-4BFA-8B86-65A67609260F	2020/0729	20200729	N	2020-11-10	63.7205	8.604333	G	Grunnst�ting	BREMHOLM	POINT(8.60433292388916 63.7205009460449)"
"6419	2406E5B6-163E-4345-AFAC-A365A43083F4	2020/0814	20200814	N	2020-11-09	59.18333	10.45	G	Grunnst�ting	KRÅKA	POINT(10.4499998092651 59.1833305358887)"
"7603	7F4AE61A-A8AA-4606-8C4D-C09C12C80FD7	2020/0707	20200707	N	2020-11-02	58.45	5.966665	G	Grunnst�ting	KNESTER	POINT(5.96666479110718 58.4500007629395)"
"642	00E2F058-CE4B-49CF-8B28-1024ED0EB772	2020/0686	20200686	N	2020-10-29	68.78333	16.53333	G	Grunnst�ting	CANOLE	POINT(16.533332824707 68.783332824707)"
"5766	AF780E2B-7EDD-4926-BA20-92F802A2E4E9	2020/0684	20200684	N	2020-10-28	70.01573	29	G	Grunnst�ting	DHARMA R	POINT(29 70.0157318115234)"
"776	97447A01-8156-4598-8306-13A718BC7996	2020/0667	20200667	N	2020-10-27	66.91666	13.85	G	Grunnst�ting	VÆRØYTRANS	POINT(13.8500003814697 66.9166641235352)"
"4923	F947ACA1-9024-4DC3-BF92-7CB92090C36F	2020/0682	20200682	N	2020-10-27	58.05725	7.87297	G	Grunnst�ting	Fritidsfartøy	POINT(7.87297010421753 58.0572509765625)"
"1426	42E7979D-6BCF-4797-B4FE-236AAC0D5AA9	2020/0663	20200663	N	2020-10-25	67.63333	12.71667	G	Grunnst�ting	TEIGENES	POINT(12.7166652679443 67.6333312988281)"
"6701	054CEB99-953E-43A2-A80C-AB482C6F2484	2020/0646	20200646	N	2020-10-18	69.87566	18.53693	G	Grunnst�ting	ÅSTA B	POINT(18.5369300842285 69.8756637573242)"
"127	AB966094-E9EB-45D8-A54E-032A3036FA6F	2020/0627	20200627	N	2020-10-09	58.42383	5.8585	G	Grunnst�ting	FRITIDSFARTØY 	POINT(5.8585000038147 58.423828125)"
"794	B8AD19EA-C502-40EF-9FE4-14219426E518	2020/0631	20200631	J	2020-10-06	66.25967	12.73483	G	Grunnst�ting	STORTIND	POINT(12.7348299026489 66.2596664428711)"
"5767	194C4250-8F2C-42B3-B0C1-92F83FDC3D79	2020/0604	20200604	N	2020-10-02	64.90333	11.30667	G	Grunnst�ting	KEY NORTH	POINT(11.3066654205322 64.9033279418945)"
"2563	58D06E49-C84E-4040-A7F4-40A514B142C0	2020/0597	20200597	N	2020-09-29	71.11667	27.61666	G	Grunnst�ting	ODD TORE	POINT(27.6166648864746 71.1166687011719)"
"5303	C5FF8982-9402-438A-8931-8608002BBE6C	2020/0592	20200592	N	2020-09-28	64.21667	10.11667	G	Grunnst�ting	BJØRØYFISK	POINT(10.1166667938232 64.216667175293)"
"3854	47196E5F-ED87-45AC-91F5-60D23B9AE9E3	2020/0585	20200585	N	2020-09-26	64.91666	11.25	G	Grunnst�ting	RONJA EXPLORER	POINT(11.25 64.9166641235352)"
"9495	6E2F87AD-F474-425D-9E51-F0BA9762FA50	2020/0584	20200584	N	2020-09-25	62.52666	6.23983	G	Grunnst�ting	BLÅTIND	POINT(6.23983001708984 62.5266647338867)"
"9937	5FDD4885-475F-4F41-B6D8-FB58ADE94697	2020/0709	20200709	N	2020-09-22	56.65	8.216665	G	Grunnst�ting	PRIMA	POINT(8.21666526794434 56.6500015258789)"
"5772	21D8EA24-7C1B-4EF3-A254-931214384089	2020/0572	20200572	N	2020-09-22	64.44283	10.559	G	Grunnst�ting	FRITIDSFARTØY	POINT(10.5590000152588 64.4428329467773)"
"6641	7F1326D1-8EB1-40DC-A180-A96FC599884A	2020/0569	20200569	N	2020-09-20	63.67178	9.03483	G	Grunnst�ting	TAUPIRI	POINT(9.03483009338379 63.6717796325684)"
"6793	61C32A62-FE4B-42A5-90CE-ADE9006BE377	2020/0560	20200560	N	2020-09-19	63.7325	8.62533	G	Grunnst�ting	FRØYSTRAND	POINT(8.62532997131348 63.7324981689453)"
"2803	E630DF37-4607-42D5-B92A-468089B378B7	2020/0557	20200557	N	2020-09-17	62.9665	6.9	G	Grunnst�ting	FRITIDSFARTØY	POINT(6.90000009536743 62.9664993286133)"
"1361	CD3DFED8-2EA0-48EE-87AD-21F65466B6AB	2020/0559	20200559	N	2020-09-17	65.31667	9.3205	G	Grunnst�ting	FRITIDSFARTØY	POINT(9.32050037384033 65.3166656494141)"
"2001	94C9DA7A-0DB7-405F-90C6-31F61B549FAB	2020/0564	20200564	N	2020-09-17	58.0895	7.034	G	Grunnst�ting	FRITIDSFARTØY	POINT(7.03399991989136 58.0895004272461)"
"8839	002B2D0B-4907-499E-B525-DE70C21B943A	2020/0568	20200568	J	2020-09-13	61.326	8.736667	G	Grunnst�ting	BITIHORN	POINT(8.73666667938232 61.326000213623)"
"3232	35355030-1C38-41D1-BC9C-515281C777D4	2020/0535	20200535	N	2020-09-07	63.25	7.916665	G	Grunnst�ting	Frøy Fenris	POINT(7.91666507720947 63.25)"
"505	F97B1147-8C2E-4F7A-B8C1-0CE0A064D794	2020/0638	20200638	J	2020-09-06	59.31667	8.716665	G	Grunnst�ting	VICTORIA	POINT(8.71666526794434 59.3166656494141)"
"7360	BDD88F1F-C3FF-405A-9C6D-BACA0CF7676F	2020/0533	20200533	N	2020-09-02	70.71166	25.8555	G	Grunnst�ting	BEKKVIK JUNIOR	POINT(25.8554992675781 70.7116622924805)"
"9726	9345664B-7870-4EFF-867F-F5FBE2B15E65	2020/0519	20200519	N	2020-08-30	66.025	12.65117	G	Grunnst�ting	FRITIDSFARTØY	POINT(12.6511650085449 66.0250015258789)"
"8727	0B22C5B8-CA16-40B3-879C-DB64C20AC9C8	2020/0520	20200520	N	2020-08-28	66.77016	13.476	G	Grunnst�ting	FRITIDSFARTØY	POINT(13.4759998321533 66.7701644897461)"
"5812	529A045C-5452-420B-86D2-93F5909E3207	2020/0512	20200512	N	2020-08-22	58.56667	9	G	Grunnst�ting	AMOR	POINT(9 58.5666656494141)"
"5692	110EBE99-611C-4C32-A893-905B0CB4C8BF	2020/0508	20200508	N	2020-08-22	59.86666	6.35	G	Grunnst�ting	ROSTEIN	POINT(6.34999990463257 59.8666648864746)"
"10043	1FFA92F6-3BAF-4548-9B10-FDFDEE9EE054	2020/0504	20200504	N	2020-08-19	63.98333	8.8	G	Grunnst�ting	NEPTUN	POINT(8.80000019073486 63.9833297729492)"
"5697	B6F2369C-25A0-4C46-8DA2-9095227CBADD	2020/0655	20200655	N	2020-08-09	59.18866	5.970665	G	Grunnst�ting	FRITIDSFARTØY 	POINT(5.97066497802734 59.188663482666)"
"5385	80C0058A-35D1-4496-8029-8813ED0DE51D	2020/0654	20200654	N	2020-08-09	59.3	6.15	G	Grunnst�ting	FRITIDSFARTØY 	POINT(6.15000009536743 59.2999992370605)"
"4913	70906A98-270E-4145-95EF-7C729660814E	2020/0486	20200486	N	2020-08-06	64.02483	11.81061	G	Grunnst�ting	HARRY BORTHEN	POINT(11.8106145858765 64.0248336791992)"
"9191	2B9B03B4-09AD-4F7F-BC42-E80AB29D081F	2020/0481	20200481	N	2020-08-01	60.75622	10.94644	G	Grunnst�ting	Fritidsfartøy	POINT(10.946439743042 60.7562217712402)"
"1626	4BFDFA60-C4AB-4165-8035-286FA4FCCCD6	2020/0448	20200448	N	2020-07-19	11.105	-74.853	G	Grunnst�ting	NORDIC WOLVERINE	POINT(-74.8529968261719 11.1049995422363)"
"4739	86E7E544-F752-4D1B-AB41-7797AEB6FB75	2020/0440	20200440	N	2020-07-16	67.76666	14.4	G	Grunnst�ting	ANNA ROGDE	POINT(14.3999996185303 67.7666625976563)"
"9662	5E3C3EB2-64B5-4A36-9905-F4A5CDC6A916	2020/0430	20200430	N	2020-07-11	59.22591	10.74382	G	Grunnst�ting	AQUALON	POINT(10.7438154220581 59.2259140014648)"
"537	68AD4E81-44F8-4153-B704-0DA2F3ACDA63	2020/0412	20200412	N	2020-07-06	69.96667	20.25	G	Grunnst�ting	LENANGSTIND	POINT(20.25 69.966667175293)"
"5285	1132CCA0-BF8B-43A8-8224-85B1FB420A57	2020/0402	20200402	N	2020-07-01	67.4855	12.067	G	Grunnst�ting	KEY FIGHTER	POINT(12.0670003890991 67.4854965209961)"
"2867	9720E498-3FD0-4F16-814B-47ECA759B8C3	2020/0404	20200404	N	2020-07-01	69.7015	18.924	G	Grunnst�ting	BBC LISBON	POINT(18.923999786377 69.7014999389648)"
"9996	B36F236A-2024-41C9-9DAD-FD08E11BA319	2020/0411	20200411	J	2020-06-30	67.76455	15.58051	G	Grunnst�ting	TROLL	POINT(15.5805149078369 67.7645492553711)"
"4389	E85FC324-E9C3-4EB2-9F0B-6E7472B109A9	2020/0401	20200401	N	2020-06-28	59.67117	5.318	G	Grunnst�ting	SOLVEIG	POINT(5.31799983978271 59.6711654663086)"
"2118	462880EB-EB60-44EE-A9CF-352092C97302	2020/0399	20200399	N	2020-06-28	67	14	G	Grunnst�ting	LOFOTJENTA	POINT(14 67)"
"2861	360606B5-4D74-4ADC-AA32-47D3A5E7DBDD	2020/0392	20200392	N	2020-06-25	70.068	20.37283	G	Grunnst�ting	KOKSHAYSK	POINT(20.3728294372559 70.068000793457)"
"6077	05EFCA63-49E6-4EF6-8620-9AB2FE6EB445	2020/0385	20200385	J	2020-06-19	58.9	6.1	G	Grunnst�ting	KVINNHERAD	POINT(6.09999990463257 58.9000015258789)"
"7866	CE0AC00C-D459-4036-8FDA-C68485BEA5A2	2020/0375	20200375	N	2020-06-15	63.03333	7.666665	G	Grunnst�ting	Amalie	POINT(7.66666507720947 63.0333290100098)"
"1211	76BEE170-179D-49C9-BDF1-1E6F77AF9BBF	2020/0330	20200330	N	2020-05-23	64.85383	11.09317	G	Grunnst�ting	FRITIDSFARTØY	POINT(11.093165397644 64.8538284301758)"
"8815	FD95C4BC-202B-45CD-91B2-DDB7B9C4AA58	2020/0694	20200694	N	2020-05-21	64.85233	11.25433	G	Grunnst�ting	FRITIDSFARTØY 	POINT(11.2543296813965 64.8523330688477)"
"9869	811238CC-DB9C-4F13-B12D-F9A359D2DE81	2020/0319	20200319	N	2020-05-21	69.49167	17.49166	G	Grunnst�ting	J.BERGVOLL	POINT(17.4916648864746 69.4916687011719)"
"2607	251BEEDD-3A58-4735-9ACE-41FE2E069CBB	2020/0695	20200695	N	2020-05-17	58.6	9.059165	G	Grunnst�ting	FRITIDSFARTØY 	POINT(9.05916500091553 58.5999984741211)"
"7221	2A3F6618-39D9-424D-87BA-B7D669E37EE2	2020/0305	20200305	N	2020-05-14	66.36667	12.33333	G	Grunnst�ting	BRØNNØYPEL	POINT(12.3333301544189 66.3666687011719)"
