"ogc_fid	id	ulykkenummer	intulykkenr	nestenulykke	dato	breddegrad	lengdegrad	ulykketype_kode	ulykketype	skipinvolvert	geom_wkt"
"3911	D39FFC2D-5F84-4534-A1D1-62733D3EFA25	2012/0306	20120306	N	2012-07-10	78.16666	15.08333	G	Grunnst�ting	POLARGIRL	POINT(15.0833330154419 78.1666641235352)"
"1601	93BEC4A0-612F-4240-B88A-27D9849A50A2	2012/0305	20120305	N	2012-07-07	68.22	14.845	G	Grunnst�ting	VÅGTRANS	POINT(14.8450002670288 68.2200012207031)"
"4420	E61E7299-8E5F-4D8B-8938-6F16C7028005	2012/0312	20120312	N	2012-07-06	66.182	12.871	G	Grunnst�ting	NY HEIMLAND	POINT(12.871000289917 66.181999206543)"
"3715	28829BE6-65C4-46CA-A63D-5D8FC4E6EC39	2012/0299	20120299	N	2012-07-04	68.205	14.475	G	Grunnst�ting	TRÆNEN	POINT(14.4750003814697 68.2050018310547)"
"3682	2E822516-5237-4D75-9DAC-5C94540186FC	2012/0301	20120301	J	2012-07-02	60.26667	5.275	G	Grunnst�ting	FJORDBAS	POINT(5.27500009536743 60.2666664123535)"
"7065	8F0A06F5-DB1E-4058-B871-B4C373AFA309	2012/0289	20120289	N	2012-06-26	70.93333	27.33333	G	Grunnst�ting	ØYGUTT	POINT(27.3333301544189 70.9333267211914)"
"5055	03C86677-6FD8-4B54-9241-8017D4B18CFC	2012/0284	20120284	N	2012-06-23	78.84717	11.792	G	Grunnst�ting	NATIONAL GEOGRAPHIC EXPLORER	POINT(11.7919998168945 78.84716796875)"
"8452	514DF481-D411-4593-9AC0-D49F8E121BA7	2012/0273	20120273	N	2012-06-18	60.64333	4.82833	G	Grunnst�ting	SØLYST	POINT(4.82833003997803 60.6433296203613)"
"7257	BB37A61D-86EB-46C9-A547-B8676EB150C0	2012/0269	20120269	N	2012-06-14	62.80933	6.538	G	Grunnst�ting	NORSKYSS	POINT(6.53800010681152 62.8093338012695)"
"3300	4B358565-B76A-41A2-BEC3-52F59CAF0AA2	2012/0242	20120242	N	2012-06-11	59.425	5.22	G	Grunnst�ting	Atlantic Wind	POINT(5.21999979019165 59.4249992370605)"
"7525	1E82DF83-17D2-4B31-91DC-BE83C13EB566	2012/0251	20120251	N	2012-06-10	66.36833	12.37167	G	Grunnst�ting	NOVATRANS	POINT(12.3716669082642 66.3683319091797)"
"5507	BC8F2711-A7C8-4C32-BA01-8B111A7AC43A	2012/0317	20120317	N	2012-06-05	59.75	5.458333	G	Grunnst�ting	HØGSFJORD	POINT(5.45833349227905 59.75)"
"2060	8A5C3F56-EC1F-4A8E-9AD7-33C69BBAEA13	2012/0267	20120267	N	2012-06-02	58.85	9.433333	G	Grunnst�ting	GAMLE KRAGERØ	POINT(9.43333339691162 58.8499984741211)"
"10079	9DFD0F15-16B7-4FF2-9FFB-FEE80F9E21A1	2012/0230	20120230	N	2012-06-01	58.91667	6	G	Grunnst�ting	SJØTROLL	POINT(6 58.9166679382324)"
"2838	E1A09D6A-8063-4CED-85E4-473CD086ABE6	2012/0224	20120224	N	2012-05-27	63.80243	8.696867	G	Grunnst�ting	FRØYAFERJA	POINT(8.69686698913574 63.802433013916)"
"5804	54EFF41F-B797-4253-B2E1-93B9C87CE5E1	2012/0208	20120208	N	2012-05-21	63.67	9.026667	G	Grunnst�ting	SCAN TRANS	POINT(9.02666664123535 63.6699981689453)"
"6090	29418C46-ADD8-4933-B39B-9B1587DEE258	2012/0200	20120200	N	2012-05-15	60.22617	5.181167	G	Grunnst�ting	SUNDFERJA	POINT(5.18116664886475 60.2261657714844)"
"2773	A5FA5D90-5A33-4B15-9D3A-45BA34DF32F1	2012/0197	20120197	N	2012-05-04	43.54483	10.29266	G	Grunnst�ting	HÖEGH ASIA	POINT(10.2926645278931 43.5448303222656)"
"4082	607BA69E-1490-4447-9C8B-66DEAF9F0F9D	2012/0149	20120149	N	2012-04-18	59.88667	5.573333	G	Grunnst�ting	EIDSVAAG JUNIOR	POINT(5.57333326339722 59.8866653442383)"
"516	9BB99CCA-4F2D-420D-88E9-0D110AB37DA5	2012/0138	20120138	N	2012-04-16	66.15193	13.0741	G	Grunnst�ting	PETTER DASS	POINT(13.0740995407104 66.1519317626953)"
"2501	7E748242-8A74-4CCB-8B12-3EA3D907A3F5	2012/0136	20120136	N	2012-04-13	58.03783	6.87383	G	Grunnst�ting	MIJANA	POINT(6.87382984161377 58.0378303527832)"
"761	36CE93FA-A786-4EBA-BE33-135A24A18130	2012/0134	20120134	N	2012-04-12	63.09949	7.292745	G	Grunnst�ting	RAMNFJORD	POINT(7.29274463653564 63.0994873046875)"
"7969	06F34D63-54CE-4B3F-BA1C-C911DB0AFC7E	2012/0188	20120188	J	2012-04-10	63.14117	7.920166	G	Grunnst�ting	STORDAL	POINT(7.92016649246216 63.1411666870117)"
"5309	48393D1C-B882-42E0-9F0F-861DCDF661F3	2012/0128	20120128	N	2012-04-05	59.16833	5.453333	G	Grunnst�ting	BOKNAFJORD	POINT(5.45333337783813 59.1683349609375)"
"4922	5301B7DC-CAB2-4E34-81C8-7CAEE023C136	2012/0122	20120122	N	2012-04-02	59.85533	5.554665	G	Grunnst�ting	FAKTOR	POINT(5.55466508865356 59.8553314208984)"
"864	7FEE0120-79CA-44A5-BED1-1608A1FB9897	2012/0118	20120118	N	2012-03-30	58.4735	5.867667	G	Grunnst�ting	FORTUNA	POINT(5.86766672134399 58.4734992980957)"
"2544	96E4C1D8-492E-446B-9F5C-400D020EDD26	2012/0120	20120120	N	2012-03-30	68.074	13.70817	G	Grunnst�ting	NY-MÅTIND	POINT(13.7081670761108 68.0739974975586)"
"5556	5D9CF30E-B2D7-4F01-A3D4-8C506EA5214D	2012/0119	20120119	N	2012-03-30	67.8345	14.77767	G	Grunnst�ting	NYBØEN	POINT(14.7776670455933 67.8345031738281)"
"8720	EA0AA5E7-723D-484D-A47D-DB42D7E665F7	2012/0111	20120111	J	2012-03-25	66.20333	12.96667	G	Grunnst�ting	TOMMA	POINT(12.9666662216187 66.2033309936523)"
"4942	205B9A0F-B09E-4C66-8F2E-7D3199805647	2012/0172	20120172	N	2012-03-24	61.86666	5.233333	G	Grunnst�ting	ABELONE MØGSTER	POINT(5.23333311080933 61.8666648864746)"
"8112	29180130-F59D-4D49-93BD-CCAE4F8261E7	2012/0135	20120135	J	2012-03-23	56.65167	12.84833	G	Grunnst�ting	GRINNA	POINT(12.8483333587646 56.651668548584)"
"278	FB09B904-AFCC-42C3-9D7E-06E302EBE72F	2012/0114	20120114	N	2012-03-21	66.92416	13.474	G	Grunnst�ting	KRISTINA	POINT(13.4739999771118 66.9241638183594)"
"9364	50E822F6-DC5C-4E69-AB1C-ECF51849E924	2012/0100	20120100	N	2012-03-17	69.23634	17.956	G	Grunnst�ting	SCAN TRANS	POINT(17.9559993743896 69.2363357543945)"
"7011	4C63FD1A-1BF9-409F-A384-B36D694E8A7C	2012/0098	20120098	N	2012-03-16	66.57946	12.98097	G	Grunnst�ting	HELGØY	POINT(12.9809703826904 66.579460144043)"
"5968	A5AECD2F-801E-49C7-869D-979EE369393B	2012/0095	20120095	N	2012-03-14	69.23717	17.97	G	Grunnst�ting	ØSTANGER	POINT(17.9699993133545 69.2371673583984)"
"4566	F3E8D6AD-039E-438F-8045-7310877B765D	2012/0092	20120092	N	2012-03-11	58.47633	5.878	G	Grunnst�ting	MOLO SUN	POINT(5.87799978256226 58.4763336181641)"
"5593	4891160C-CFB4-4498-A495-8D8979E582A6	2012/0093	20120093	N	2012-03-09	61.88667	5.166665	G	Grunnst�ting	CELINA	POINT(5.16666507720947 61.8866653442383)"
"5684	2ADD1038-A113-40D3-BA56-90358609D72B	2012/0089	20120089	N	2012-03-06	66.84	13.60833	G	Grunnst�ting	LEITHE	POINT(13.6083335876465 66.8399963378906)"
"1690	9E0071CB-4FAC-4F98-8B56-2A0853CB9875	2012/0117	20120117	N	2012-03-02	54.64	20.02667	G	Grunnst�ting	STAV VIKING	POINT(20.0266666412354 54.6399993896484)"
"5913	DF6F88EE-FA87-4B72-8EA9-96508CB3DAAC	2012/0073	20120073	N	2012-02-29	55.36267	13.1515	G	Grunnst�ting	GRINNA	POINT(13.15149974823 55.3626670837402)"
"6834	8D922896-A3CA-44AC-B75A-AEE386B210D6	2012/0059	20120059	N	2012-02-23	67.75833	14.5	G	Grunnst�ting	SVEANORD	POINT(14.5 67.7583312988281)"
"1714	82712CF8-4AC6-4915-873C-2AD4E9DEAE21	2012/0071	20120071	N	2012-02-21	62.2599	7.869983	G	Grunnst�ting	KARLSØY VIKING	POINT(7.86998319625854 62.2598991394043)"
"7145	0267BB53-8945-4837-BDA4-B6794874B34D	2012/0061	20120061	J	2012-02-09	68.825	16.6	G	Grunnst�ting	VIRAK	POINT(16.6000003814697 68.8249969482422)"
"7915	4CF58520-D4C6-4E17-B250-C7AAFFEA98F5	2012/0042	20120042	N	2012-02-08	70.94167	27.34167	G	Grunnst�ting	ØRNTIND	POINT(27.341667175293 70.9416656494141)"
"3083	A4A39331-4204-4C73-93C4-4DDB047A7477	2012/0041	20120041	N	2012-02-07	58.83925	9.480917	G	Grunnst�ting	OLJEVERN 03	POINT(9.48091697692871 58.8392486572266)"
"7625	BAB6390D-C133-4E33-94D5-C1369F20BB2A	2012/0036	20120036	N	2012-02-02	67.65005	12.71875	G	Grunnst�ting	BJØRN HARRY	POINT(12.71875 67.6500473022461)"
"4944	92FBE06C-2FDE-45B2-A480-7D552C8E6E01	2012/0039	20120039	N	2012-02-01	61.6	5.033333	G	Grunnst�ting	AMBASSADOR	POINT(5.03333330154419 61.5999984741211)"
"5186	93D039B3-98FE-4501-922B-834439E15937	2012/0030	20120030	N	2012-01-29	68.21	14.19666	G	Grunnst�ting	FEED BALSFJORD	POINT(14.1966648101807 68.2099990844727)"
"9281	038670DC-5592-4F9E-9EA8-EAB6FE524A24	2012/0031	20120031	N	2012-01-28	53.88334	9.133333	G	Grunnst�ting	STEN BALTIC	POINT(9.13333320617676 53.8833351135254)"
"8855	B7523B26-B2C4-4F15-9B89-DF081F2F8796	2012/0028	20120028	N	2012-01-27	67.825	14.72266	G	Grunnst�ting	SLOTTHEIM	POINT(14.7226648330688 67.8249969482422)"
"176	A4FD1D22-172E-4DC8-A29A-046EA7CD7063	2012/0027	20120027	N	2012-01-26	62.8	6.75	G	Grunnst�ting	VENGSØY	POINT(6.75 62.7999992370605)"
"7970	F8CD28C5-B3EC-4568-B49B-C91372B46824	2012/0018	20120018	N	2012-01-23	69.98666	18.48833	G	Grunnst�ting	Helgeson	POINT(18.4883327484131 69.9866638183594)"
"2961	5D336BB5-A36F-47A5-B56A-4AABCB59635B	2012/0019	20120019	N	2012-01-23	68.09417	13.20583	G	Grunnst�ting	Liss-Heidi	POINT(13.2058334350586 68.0941696166992)"
"1307	D32E62B9-13A6-4CE4-8602-20D3E1F1353A	2012/0013	20120013	N	2012-01-14	67.66333	12.70667	G	Grunnst�ting	SILVER CAPE	POINT(12.7066669464111 67.663330078125)"
"8650	BAEDA388-0520-4C0C-9E50-D97D37E775A6	2012/0012	20120012	N	2012-01-13	63.68333	9.666667	G	Grunnst�ting	NIDAROS	POINT(9.66666698455811 63.6833343505859)"
"490	5AAB1DE4-AE14-4A16-8D06-0C911E42CB2E	2012/0047	20120047	N	2012-01-09	71.08617	24.7075	G	Grunnst�ting	STORGRUNN	POINT(24.7075004577637 71.0861663818359)"
"5394	C4D93E5B-C352-4D4E-A2DD-885236484683	2011/0569	20110569	N	2011-12-29	62.3091	5.574467	G	Grunnst�ting	ØYFJORD	POINT(5.57446670532227 62.3091011047363)"
"8310	C25F789F-A5F8-4861-B107-D1196DD30C44	2011/0565	20110565	N	2011-12-28	69.555	18.752	G	Grunnst�ting	Ice Bird	POINT(18.7520008087158 69.5550003051758)"
"6571	D0A0417A-291B-4073-94A0-A7A1D8547AE6	2011/0564	20110564	J	2011-12-28	69.256	17.983	G	Grunnst�ting	Wilson Tana	POINT(17.9829998016357 69.2559967041016)"
"8826	B607792D-50E7-4486-A7BB-DE168FB919C3	2011/0567	20110567	N	2011-12-27	65.92683	12.43567	G	Grunnst�ting	ALSTEN	POINT(12.4356670379639 65.9268341064453)"
"2964	04E7B343-E92E-428C-9AA0-4AB93E0E0B6F	2011/0558	20110558	N	2011-12-25	64.97667	11.59167	G	Grunnst�ting	Hav Sund	POINT(11.5916662216187 64.9766693115234)"
"5756	5817D881-404C-469E-A4F7-92B968CC7119	2011/0557	20110557	J	2011-12-22	59.49333	5.2	G	Grunnst�ting	Norholm	POINT(5.19999980926514 59.4933319091797)"
"7370	3B72671A-BDCE-4A45-83C4-BB2B605F841C	2011/0540	20110540	N	2011-12-16	63.82333	8.638	G	Grunnst�ting	SVEALAND	POINT(8.63799953460693 63.8233299255371)"
"8684	704620BF-506A-4539-BF2A-DA9AB151992A	2011/0541	20110541	N	2011-12-15	63.869	8.6605	G	Grunnst�ting	FRØYAFERJA	POINT(8.66049957275391 63.8689994812012)"
"7933	2C07C6D4-A3E6-48E8-A9E2-C838C91D2AB0	2011/0534	20110534	N	2011-12-13	62.37091	6.42025	G	Grunnst�ting	KVERNES	POINT(6.42024993896484 62.3709144592285)"
"3851	F4CE89CF-65D3-484F-B2A0-60C7E96650FC	2011/0528	20110528	N	2011-12-10	65.6765	12.132	G	Grunnst�ting	TORGTIND	POINT(12.1319999694824 65.6764984130859)"
"1630	8C7E7348-0B4C-4FB3-9C09-288531E39088	2011/0531	20110531	N	2011-12-10	66.71667	13.20117	G	Grunnst�ting	ANITA	POINT(13.2011671066284 66.716667175293)"
"4762	8B5955AD-DC1B-49C0-B773-783811016BC9	2011/0526	20110526	N	2011-12-08	59.44	10.49833	G	Grunnst�ting	TRISET	POINT(10.498330116272 59.439998626709)"
"7261	10398EFF-D208-4D43-A376-B8838B1370E1	2011/0525	20110525	N	2011-12-07	69.33483	16.17183	G	Grunnst�ting	KV BARENTSHAV	POINT(16.1718330383301 69.334831237793)"
"3950	C6782B49-743F-4555-B4D1-637DFDB46EA9	2011/0530	20110530	N	2011-12-07	64.90166	11.3395	G	Grunnst�ting	KIRO	POINT(11.3395004272461 64.9016647338867)"
"8822	5EE4957C-37FA-42B3-8A84-DDFDE659B2F2	2011/0533	20110533	N	2011-12-03	68.64992	12.72192	G	Grunnst�ting	TROMSBAS	POINT(12.7219161987305 68.6499176025391)"
"8728	9B8283F9-6792-41BF-8C6C-DB713C1B31DC	2011/0590	20110590	N	2011-12-02	63.58033	9.508333	G	Grunnst�ting	NIDAROS	POINT(9.50833320617676 63.5803337097168)"
"3186	15F1EC50-2064-4971-A85F-5013121FF1A6	2011/0516	20110516	N	2011-11-30	61.17167	7.256166	G	Grunnst�ting	GULEN	POINT(7.25616645812988 61.1716651916504)"
"4643	409FE991-38A6-4FB3-9A90-7546DE0B5010	2011/0593	20110593	N	2011-11-29	58.87148	9.544	G	Grunnst�ting	NAUS	POINT(9.54399967193604 58.8714828491211)"
"7067	03E02E5F-0D9B-477A-94A2-B4E148AA82E4	2011/0535	20110535	N	2011-11-26	58.99425	11.03566	G	Grunnst�ting	HORN FLYER	POINT(11.0356645584106 58.9942512512207)"
"599	2176E245-7EB7-499D-ACAA-0F40E44A89C9	2011/0605	20110605	N	2011-11-26	61.86666	5.216665	G	Grunnst�ting	MYRÅS	POINT(5.21666479110718 61.8666648864746)"
"2132	E86D8BE6-9ED1-40D2-B68C-356F68ABBCCB	2011/0501	20110501	J	2011-11-25	59.305	5.3345	G	Grunnst�ting	FALKSUND	POINT(5.33449983596802 59.3050003051758)"
"6672	FD4D103D-1FA8-44FF-9196-AA326E8F1C34	2011/0508	20110508	N	2011-11-25	58.36666	11.42667	G	Grunnst�ting	EK-RIVER	POINT(11.4266653060913 58.3666648864746)"
"9118	9EF541AB-1029-4D10-BEF5-E6520783F8A2	2011/0497	20110497	N	2011-11-23	58.81667	9.471665	G	Grunnst�ting	NORVIND	POINT(9.47166538238525 58.8166656494141)"
"8189	9903D403-D709-4488-8B36-CE424402FC48	2011/0510	20110510	N	2011-11-21	58.86825	9.44135	G	Grunnst�ting	NAUS	POINT(9.44134998321533 58.8682518005371)"
"3167	1E03DD35-CDDE-4AB0-9B55-4FA917D678F0	2011/0521	20110521	N	2011-11-20	63.85183	23.00383	G	Grunnst�ting	HAVSTRAUM	POINT(23.0038318634033 63.8518333435059)"
"3836	888CE90B-DD9B-4798-AC25-6070DCD9F3C8	2011/0480	20110480	N	2011-11-18	62.77167	6.97	G	Grunnst�ting	RAUMA	POINT(6.96999979019165 62.7716674804688)"
"2380	034FC495-CD19-447A-8477-3B7362AC9096	2011/0485	20110485	J	2011-11-18	59.00599	10.52108	G	Grunnst�ting	WMS GRONINGEN 	POINT(10.5210828781128 59.0059852600098)"
"535	6816C3BB-57D3-4AB0-AF39-0D9455E16713	2011/0507	20110507	N	2011-11-14	59.922	29.99133	G	Grunnst�ting	STAV VIKING	POINT(29.9913330078125 59.9220008850098)"
"193	1747C785-6E7E-4901-AE73-04DD4D242392	2011/0473	20110473	N	2011-11-14	63.24	8.133333	G	Grunnst�ting	TUSTNA	POINT(8.13333320617676 63.2400016784668)"
"10074	94E1D57B-07F4-4190-B7C9-FECD06AB5334	2011/0511	20110511	N	2011-11-12	61.3385	5.042167	G	Grunnst�ting	ASKVOLL	POINT(5.0421667098999 61.3385009765625)"
"3346	724DA924-D1C5-45B7-AE24-53DA8AD0F740	2011/0459	20110459	N	2011-11-08	67.30367	14.72417	G	Grunnst�ting	HAVSERVICE I	POINT(14.7241668701172 67.3036651611328)"
"6	13C8AAFF-0222-4AC0-88A9-001BCA0CC3BB	2011/0460	20110460	N	2011-11-08	60.1425	5.424167	G	Grunnst�ting	FANAFJORD	POINT(5.42416667938232 60.1425018310547)"
"4750	3A665208-8D5A-470C-B59B-77FA69846C04	2011/0461	20110461	N	2011-11-04	65.47066	12.20117	G	Grunnst�ting	FREIFJORD	POINT(12.2011651992798 65.4706649780273)"
"6627	12A3DE17-602F-4837-A6AB-A90D0D5867F3	2011/0455	20110455	J	2011-11-04	61.93	5.023334	G	Grunnst�ting	Pioneer Bay	POINT(5.02333354949951 61.9300003051758)"
"1861	1057F2CD-6B5F-4847-8846-2EA4EAD8E40A	2011/0450	20110450	N	2011-10-29	61.15556	5.01835	G	Grunnst�ting	GUDVANGEN	POINT(5.01835012435913 61.1555595397949)"
"9928	10E80B0C-1155-4FD1-8B41-FB203433F7E2	2011/0443	20110443	J	2011-10-23	60.14	5.078333	G	Grunnst�ting	MOLO TRADER	POINT(5.07833337783813 60.1399993896484)"
"4416	313ED57B-4A5A-4F51-A1BC-6EEC8659830C	2011/0438	20110438	J	2011-10-19	59.46667	5.218333	G	Grunnst�ting	NORVIND	POINT(5.21833324432373 59.466667175293)"
"5646	7B0058C7-EDC2-4B3D-AAE9-8F06A1E43C12	2011/0433	20110433	N	2011-10-17	69.64167	17.99333	G	Grunnst�ting	HAUNES	POINT(17.9933338165283 69.6416702270508)"
"4586	898092F7-891A-4E1B-B526-739A448F8B0F	2011/0425	20110425	N	2011-10-14	60.33833	5.191667	G	Grunnst�ting	MERCATOR	POINT(5.19166660308838 60.3383331298828)"
"8570	09111C2D-0281-496A-9D69-D7FDE5434D93	2011/0548	20110548	J	2011-10-09	69.087	17.4155	G	Grunnst�ting	HAVTRANS	POINT(17.4155006408691 69.0869979858398)"
"3829	25092727-6E93-43C5-84DA-6043EBEEE62A	2011/0602	20110602	N	2011-10-05	59.07483	10.9675	G	Grunnst�ting	NOAH	POINT(10.9674997329712 59.0748291015625)"
"6411	4D7FAA41-B685-4940-BBAC-A30E8AAAA2A3	2011/0422	20110422	N	2011-10-03	69.63333	18	G	Grunnst�ting	KNESTER	POINT(18 69.6333312988281)"
"7362	F313DCE8-88CC-4016-9994-BAD1E96DD24B	2011/0410	20110410	N	2011-10-03	63.0605	7.6685	G	Grunnst�ting	SVARTFOSS	POINT(7.66849994659424 63.0605010986328)"
"9344	F3B75DB6-0939-410A-8ECB-EC7E76B5378E	2011/0406	20110406	N	2011-10-02	66.63116	13.21	G	Grunnst�ting	STAR VIKING	POINT(13.210000038147 66.6311645507813)"
"6526	E9A6BECF-0134-470E-845A-A62574A2A8BE	2011/0403	20110403	N	2011-10-02	68.33666	14.96167	G	Grunnst�ting	PORSOY	POINT(14.9616651535034 68.3366622924805)"
"3226	AB7D17CB-AFC0-46D2-B6A8-513322F5EC63	2011/0402	20110402	N	2011-09-27	60.55	5.236667	G	Grunnst�ting	STRAUMVIK	POINT(5.23666667938232 60.5499992370605)"
"2052	D065395E-1C81-4BFC-89C7-335F7F8634C6	2011/0408	20110408	N	2011-09-25	62.9095	6.893667	G	Grunnst�ting	ERIK BYE	POINT(6.89366674423218 62.9095001220703)"
"1216	8A2AF16D-B768-44F1-A42C-1E7E46494AC1	2011/0395	20110395	N	2011-09-23	59.425	5.233333	G	Grunnst�ting	TAURANGA	POINT(5.23333311080933 59.4249992370605)"
"8282	6922EE6A-4FD6-4858-895C-D04ABBA869AF	2011/0398	20110398	N	2011-09-21	60.47083	5.237333	G	Grunnst�ting	MARTHE	POINT(5.23733329772949 60.470832824707)"
"2475	D7F35804-D9AB-4F53-8480-3E174584EE4A	2011/0392	20110392	N	2011-09-17	62.34	5.625	G	Grunnst�ting	POLFOSS	POINT(5.625 62.3400001525879)"
"6743	3252E87F-FE3D-428E-A235-AC84A89F32C0	2011/0388	20110388	N	2011-09-16	66.57667	13.06167	G	Grunnst�ting	FJORDTOR I	POINT(13.0616664886475 66.5766677856445)"
"5161	3A062F25-E26C-459B-9D95-8294EE7B7A62	2011/0384	20110384	N	2011-09-09	59.85283	10.49183	G	Grunnst�ting	BÅTSERVICE IV	POINT(10.4918336868286 59.8528327941895)"
"9694	B4BAE04C-3D05-4127-A237-F53977A3D225	2011/0383	20110383	N	2011-09-09	63.13334	8.433333	G	Grunnst�ting	EIKSUND	POINT(8.43333339691162 63.1333351135254)"
"594	BDA1128A-E8EA-4BB1-B32E-0F0FCAB1F775	2011/0361	20110361	N	2011-09-03	70.12192	21.3105	G	Grunnst�ting	TIGERGUTT	POINT(21.3104991912842 70.1219177246094)"
"2205	EE2CF0E0-B3B4-4BDF-B829-3737D2D5620C	2011/0359	20110359	N	2011-09-01	59.15633	10.95667	G	Grunnst�ting	TANANGER	POINT(10.9566650390625 59.1563301086426)"
"5488	2D94FB79-BAE9-4728-AA25-8AA0D8D1F794	2011/0358	20110358	N	2011-08-30	69.65333	18.97383	G	Grunnst�ting	KAPITAN DOLGIKH	POINT(18.9738292694092 69.6533279418945)"
"3880	A8715F18-9904-4580-91EB-615CF797A18A	2011/0347	20110347	N	2011-08-28	62.9055	6.906833	G	Grunnst�ting	Achiever	POINT(6.90683317184448 62.9054985046387)"
"8948	4E7284EC-80CC-4BCA-AFD8-E19B623D1D75	2011/0354	20110354	N	2011-08-26	60.12317	5.206167	G	Grunnst�ting	STØ KURS	POINT(5.20616674423218 60.1231651306152)"
"3929	1DB506EC-C925-4ACA-8900-62EF148ED94B	2011/0345	20110345	N	2011-08-26	60.47166	6.902	G	Grunnst�ting	SOGN	POINT(6.90199995040894 60.4716644287109)"
"398	52B7DCBD-DDF2-486C-8FF9-0A17206F465D	2011/0341	20110341	J	2011-08-23	59.30213	4.757527	G	Grunnst�ting	Hanseatic Sea 	POINT(4.75752687454224 59.3021278381348)"
"9541	A3D5637D-20AF-4C72-8120-F196C18F3757	2011/0344	20110344	N	2011-08-23	70.87334	25.50333	G	Grunnst�ting	ASTRID ANDREA	POINT(25.5033340454102 70.8733367919922)"
"3549	0F1B3164-533C-481A-A4DC-59501F631B38	2011/0340	20110340	J	2011-08-23	58.93333	11.09333	G	Grunnst�ting	COLOR VIKING	POINT(11.0933332443237 58.9333343505859)"
"8278	C4E4ECFF-EBC1-4506-953D-D0350F2AA77C	2011/0331	20110331	N	2011-08-14	60.78683	11.06733	G	Grunnst�ting	SKIBLADNER	POINT(11.0673332214355 60.7868347167969)"
"6521	91BB2ABF-DB39-48EA-94F8-A610CF966375	2011/0335	20110335	N	2011-08-08	59.84067	10.63567	G	Grunnst�ting	TIDEBARONESSEN	POINT(10.635666847229 59.8406677246094)"
"718	485F84D0-2675-4A1A-82A5-1214914472EC	2011/0324	20110324	N	2011-08-04	22.95186	70.24567	G	Grunnst�ting	ISABELITA	POINT(70.2456665039063 22.9518642425537)"
"2625	D0D424C4-1AA4-4B38-BE57-42631851F43E	2011/0318	20110318	N	2011-08-03	59.25267	5.4445	G	Grunnst�ting	KONGSVAAG	POINT(5.44449996948242 59.2526664733887)"
"404	B1D15396-BF41-45BE-96AA-0A37553B9539	2011/0321	20110321	N	2011-08-02	63.0755	7.7097	G	Grunnst�ting	SEMO	POINT(7.70970010757446 63.0755004882813)"
"817	06E0CD88-34A6-4603-89E8-14B01EC0B0EE	2011/0322	20110322	N	2011-08-01	70.01633	18.603	G	Grunnst�ting	ROLF ASBJØRN	POINT(18.6030006408691 70.0163345336914)"
"2158	FB250ECA-51D6-448E-82ED-360140F76A70	2011/0301	20110301	N	2011-07-21	64.52016	10.8955	G	Grunnst�ting	EIDSVAAG SIRIUS	POINT(10.8955001831055 64.5201644897461)"
"257	3A21C7EB-38A9-4215-A705-0679176CECAF	2011/0296	20110296	N	2011-07-17	65.225	11.0025	G	Grunnst�ting	CSL TRIMNES	POINT(11.0024995803833 65.2249984741211)"
"7333	81AB35ED-77F2-471D-BBFF-BA334A72FF58	2011/0304	20110304	N	2011-07-17	63.99866	9.177665	G	Grunnst�ting	AGDENES	POINT(9.1776647567749 63.998664855957)"
"3064	C4606F0C-5BC9-4027-B6E6-4D6E153EA66D	2011/0289	20110289	N	2011-07-14	69.10433	15.97483	G	Grunnst�ting	MOLO TRADER	POINT(15.9748334884644 69.1043319702148)"
"1123	0D02D3D3-FA89-43FB-BBB9-1C25BC59F364	2011/0275	20110275	N	2011-07-05	66.49342	12.10081	G	Grunnst�ting	FÆRØY	POINT(12.1008148193359 66.4934158325195)"
"6832	07803FC3-0286-4F81-A1FF-AECE6C5D3941	2011/0270	20110270	N	2011-07-03	79.99184	18.27667	G	Grunnst�ting	PLANCIUS	POINT(18.2766666412354 79.9918365478516)"
"3310	D1D5AC18-B228-4283-8A3E-532DFD34962C	2011/0250	20110250	N	2011-06-19	61.1195	5.02583	G	Grunnst�ting	Nordfjord	POINT(5.02582979202271 61.119499206543)"
"5302	A9476A45-70E7-4A6E-8C24-8603F059DC09	2011/0249	20110249	N	2011-06-18	59.29667	8.728333	G	Grunnst�ting	Victoria	POINT(8.72833347320557 59.2966651916504)"
"7130	F84D3940-CF71-4C10-97ED-B636748B6137	2011/0241	20110241	N	2011-06-15	63.13667	8.436666	G	Grunnst�ting	EIKSUND	POINT(8.43666648864746 63.1366653442383)"
"7318	63A2E8E9-F271-4DE3-843C-B9E4FEB3FEC2	2011/0236	20110236	N	2011-06-14	61.58533	4.982	G	Grunnst�ting	RENNESØY	POINT(4.98199987411499 61.585334777832)"
"7713	1F5DEE9E-C449-4285-96C6-C2FC942752D4	2011/0235	20110235	N	2011-06-11	68.31628	14.9893	G	Grunnst�ting	LOFOTFERJE I	POINT(14.9892997741699 68.3162841796875)"
"888	824225AD-982B-4F68-BD8F-168E2FF858E8	2011/0232	20110232	N	2011-06-09	64.599	11.45217	G	Grunnst�ting	RUNE VIKING	POINT(11.452166557312 64.5989990234375)"
"8863	A3777E99-E811-4A73-98E8-DF432EC3FB42	2011/0245	20110245	N	2011-06-09	70.986	28.52167	G	Grunnst�ting	KJØLLEFJORD	POINT(28.5216674804688 70.9860000610352)"
